Timestamp,Room,Type,locked,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data0,Mat1,Mat2,Mat3,Mat4,Mat5,Mat6,Mat7,Mat8,Mat9,Mat10,Mat0
4/4/2021 14:28:32,OPR - Operations,Small locker,No,,,,,,,,,,,,Optical Fiber,Encrypted Memory Chip,,,,,,,,,
4/4/2021 14:28:54,OPR - Operations,Small locker,No,,,,,,,,,,,,Circuit Board,,,,,,,,,,
4/4/2021 14:31:44,PROC - Production,Large Locker,No,,,,,,,,,,,,Metal Coil,Metal Coil,Micro Hydraulics,Weapon Component,Weapon Component,Micro Transformer,Chemical Superbase,,,,
4/4/2021 14:32:24,PROC - Production,Small locker,Yes,,,,,,,,,,,,Genetic Repair Meds,Ionised Gas,G-Meds,G-Meds,,,,,,,
4/4/2021 14:33:11,PROC - Production,Small locker,Yes,,,,,,,,,,,,G-Meds,Chemical Sample,Inertia Canister,,,,,,,,
4/4/2021 14:34:47,PROC - Production,Small locker,No,,,,,,,,,,,,Carbon Fibre Plating,Carbon Fibre Plating,Weapon Component,Circuit Board,,,,,,,
4/4/2021 14:35:20,PROC - Production,Small locker,No,,,,,,,,,,,,Microelectrode,Electrical Wiring,,,,,,,,,
4/4/2021 14:36:18,Lab - Laboratory,Small locker,No,,,,,,,,,,,,RDX,,,,,,,,,,
4/4/2021 14:42:00,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Graphien,Metal Coil,Circuit Switch,Ion Bettery,Encrypted Memory Chip,Optical Lens,Epoxy Adhesive,,,,
4/4/2021 14:42:32,Lab - Laboratory,Small locker,No,,,,,,,,,,,,RDX,Viscoelastic Polymer,,,,,,,,,
4/4/2021 14:43:21,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Microbial Inhibitor,Insight,Compression-Liquified Gas,,,,,,,,
4/4/2021 14:44:49,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Memory Chip,Memory Chip,Memory Chip,Memory Chip,Optical Lens,Optical Lens,Graphien,Graphien,Circuit Switch,Circuit Switch,
4/4/2021 14:46:13,PROC - Production,Small locker,Yes,,,,,,,,,,,,Genetic Repair Meds,Inertia Canister,G-Meds,G-Meds,,,,,,,
4/4/2021 14:47:00,PROC - Production,Small locker,Yes,,,,,,,,,,,,Ionised Gas,Ionised Gas,Chemical Sample,,,,,,,,
4/4/2021 14:47:43,PROC - Production,Large Locker,No,,,,,,,,,,,,Titanium Plating,Circuit Board,Motor,,,,,,,,
4/4/2021 14:48:18,PROC - Production,Small locker,No,,,,,,,,,,,,Carbon Fibre Plating,,,,,,,,,,
4/4/2021 21:21:05,Lab - Laboratory,Data port,No,Chemical Patents,Chemical Patents,Virology Data,Pharmaceutical Patents,,,,,,,,,,,,,,,,,,
4/4/2021 21:24:33,PROC - Production,Data port,,Manufacturing Instructions,Chemical Patents,Chemical Inventory,Chemical Patents,,,,,,,,,,,,,,,,,,
4/4/2021 22:20:02,PWR - Power,Data port,No,Accident logs,,,,,,,,,,,,,,,,,,,,,
4/4/2021 22:26:02,DORM - Dorms,Small locker,No,,,,,,,,,,,,Memory Chip,Encrypted Memory Chip,,,,,,,,,
4/4/2021 22:27:04,DORM - Dorms,Small locker,No,,,,,,,,,,,,Encrypted Memory Chip,Encrypted Memory Chip,Epoxy Adhesive,Circuit Switch,,,,,,,
4/4/2021 22:27:57,DORM - Dorms,Small locker,No,,,,,,,,,,,,Ion Bettery,Memory Chip,,,,,,,,,
4/4/2021 22:29:14,DORM - Dorms,Small locker,No,,,,,,,,,,,,Ion Bettery,Ion Bettery,Graphien,Memory Chip,,,,,,,
4/4/2021 22:29:53,DORM - Dorms,Large Locker,No,,,,,,,,,,,,Graphien,,,,,,,,,,
4/4/2021 22:30:22,DORM - Dorms,Small locker,No,,,,,,,,,,,,Memory Chip,,,,,,,,,,
4/4/2021 22:30:49,DORM - Dorms,Small locker,No,,,,,,,,,,,,Memory Chip,Metal Coil,,,,,,,,,
4/4/2021 22:32:36,DORM - Dorms,Yellow Container,Yes,,,,,,,,,,,,Insight Entertainment Suite,Personal Documents,G-Meds,,,,,,,,
4/4/2021 22:34:30,DORM - Dorms,Large Locker,No,,,,,,,,,,,,Metal Coil,Metal Coil,Optical Lens,Circuit Board,Encrypted Memory Chip,Epoxy Adhesive,Memory Chip,Ion Bettery,,,
4/4/2021 22:38:24,DORM - Dorms,Data port,No,Tax Records,Accident logs,,,,,,,,,Employment History, Personal Logs, Faction Donator List,,,,,,,,,,,
4/4/2021 22:39:34,DORM - Dorms,Small locker,No,,,,,,,,,,,,Metal Coil,Epoxy Adhesive,Epoxy Adhesive,Circuit Switch,,,,,,,
4/4/2021 22:39:49,DORM - Dorms,Small locker,No,,,,,,,,,,,,Optical Lens,,,,,,,,,,
4/4/2021 22:41:35,DORM - Dorms,Large Locker,No,,,,,,,,,,,,Memory Chip,Encrypted Memory Chip,Encrypted Memory Chip,Circuit Switch,Circuit Switch,Epoxy Adhesive,Ion Bettery,Optical Lens,,,
4/4/2021 22:44:07,DORM - Dorms,Yellow Container,Yes,,,,,,,,,,,,Insight Data Bank,Universal Translator,,,,,,,,,
4/4/2021 22:44:35,DORM - Dorms,Small locker,No,,,,,,,,,,,,Metal Coil,,,,,,,,,,
4/4/2021 22:44:59,DORM - Dorms,Large Locker,No,,,,,,,,,,,,Encrypted Memory Chip,,,,,,,,,,
